workerid,proliferate.condition,classification,num,sentence,stim,text,trial,type,subject_data.age,subject_data.american,subject_data.assessment,subject_data.comments,subject_data.fairprice,subject_data.gender,subject_data.languages,subject_data.problems,time_in_minutes,error
5,condition1,both,13,"Once I'm airborne, the kite responds like a parachute, slowing my descent. I glide for a few seconds before landing on a feathery cushion of waist-deep joy. But most liberating is the sheer freedom…",, ,10,non-legal,,,Confused,,,Other,,,0.837683333,
29,condition1,both,26,"Knowing constitutional law requires full knowledge of all four Organic Laws of the United States of America and the only way to acquire that knowledge is to read and study those laws. Together, the Declaration of Independence and the Articles of Confederation provide a path to freedom…",,",liberty and the pursuit of happiness.",4,legal,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
138,condition1,both,40,"So I'm sick and tired of hearing' Women's issues' which is just a euphemism for abortion, really."" The women in Tampa take that message to heart. The 2020 election, many of them tell me, is about a bigger clash of ideals."" For me, it's freedom",,at stake,9,legal,25,Yes,Confused,,,Female,English,,4.33745,
43,condition1,both,15,Both the Religious Test Clause and the First Amendment of the Constitution are not guarantees of religious heterogeneity--they are guarantees of a freedom…,,for all.,2,legal,62,Yes,Confused,It was excellent. ,1,Female,English,No,13.6914,
180,condition1,both,17,Libraries = Intellectual Freedom. Libraries are already one of the leaders in intellectual freedom. We work hard to ensure privacy and freedom…,,for our communities,1,non-legal,51,Yes,Confused,,$4 ,Female,English ,no,11.85118333,
137,condition1,both,26,"Knowing constitutional law requires full knowledge of all four Organic Laws of the United States of America and the only way to acquire that knowledge is to read and study those laws. Together, the Declaration of Independence and the Articles of Confederation provide a path to freedom…",,for US citizens.,4,legal,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
72,condition1,both,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,from your earthly burdens,3,non-legal,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
19,condition1,both,6,"At the time of the Paris Peace Conference, the goal of the conference was described as ""giving birth to a new order to which all mankind is looking for freedom…",,"Humans, politics",9,legal,31,Yes,Confused,None,$1.25 ,Male,English,No,10.12106667,
72,condition1,both,4,"It was our Japanese publisher, Sunsoft, who approached us out of the blue asking us if we'd do a game for an older audience. We shared a tremendous amount of mutual respect toward one another and we were given total creative freedom…",,in its creation,1,non-legal,42,Yes,Confused,,2.03,Male,English,No,23.73603333,
137,condition1,both,3,What is the very best way to get the Amazon system to work for you when you're promoting its products? Offering your buyers a wide selection of products to choose from offers them lots of freedom…,,of choice. ,7,non-legal,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
137,condition1,both,9,Our constitution grants to each citizen the liberty and freedom to determine their own perception of reality. We simply ask each American citizen to exercise their freedom…,,of common sense. ,2,legal,35,Yes,Confused,,$2 ,Other,English,,6.583033333,
180,condition1,both,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,of movement,9,non-legal,51,Yes,Confused,,$4 ,Female,English ,no,11.85118333,
29,condition1,both,29,"What happened to those beautiful statutes enunciated in the constitution which guarantee the sanctity of the citizen's life, property, and the many other rights such as the right to freedom…",,of speech.,8,legal,30,Yes,Confused,,$2.00 ,Female,English,No,6.126966667,
19,condition1,both,,,I let the dog off leash and he...,"Ran, attacked, jumped",,,31,Yes,Confused,None,$1.25 ,Male,English,No,10.12106667,
19,condition1,both,1,"She addressed the Wikosans, using only those words of her language that she knew Benton could understand. ""Choose twelve among you to return to Wikosa. You will tell Wikosa that they may buy your lives and your freedom…",,"Slavery, oppression",6,non-legal,31,Yes,Confused,None,$1.25 ,Male,English,No,10.12106667,
43,condition1,both,6,"At the time of the Paris Peace Conference, the goal of the conference was described as ""giving birth to a new order to which all mankind is looking for freedom…",,that they deserve.,10,legal,62,Yes,Confused,It was excellent. ,1,Female,English,No,13.6914,
43,condition1,both,12,"The prominence of these moguls was so well known it inspired a nickname -- the Boligarchs -- for their fast accumulation of wealth and their ties to the government, which reveres Simon Bolivar, the 19th-century aristocrat who won Venezuela's freedom…",,to be wealthy.,5,legal,62,Yes,Confused,It was excellent. ,1,Female,English,No,13.6914,
